@relation tweets

@attribute fppronouns numeric
@attribute sppronouns numeric
@attribute tppronouns numeric
@attribute coordconjs numeric
@attribute ptverbs numeric
@attribute ftverbs numeric
@attribute commas numeric
@attribute colons numeric
@attribute dashes numeric
@attribute parentheses numeric
@attribute ellipses numeric
@attribute cmnnouns numeric
@attribute propnouns numeric
@attribute adverbs numeric
@attribute whwords numeric
@attribute slang numeric
@attribute uppercase numeric
@attribute avgsentence numeric
@attribute avgtoken numeric
@attribute numsentence numeric
@attribute class {britneyspears,justinbieber,katyperry,ladygaga,rihanna,taylorswift}


@data
1,3,0,0,0,0,0,0,0,2,0,7,0,2,0,0,0,6.67,3.45,3,britneyspears
0,0,0,1,0,0,2,1,0,0,0,4,0,1,0,0,0,5.0,4.4,2,britneyspears
2,0,0,0,3,0,1,0,1,0,1,8,3,2,0,0,2,6.75,3.26,4,britneyspears
0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,6.0,3.08,2,britneyspears
0,0,1,0,0,0,1,1,0,0,0,6,3,1,0,0,1,7.0,3.52,3,britneyspears
0,1,0,0,0,1,0,0,0,2,0,5,0,0,0,0,1,6.0,3.75,2,britneyspears
0,0,0,0,0,0,0,0,1,2,0,3,5,1,1,0,0,20.0,4.4,1,britneyspears
0,0,0,0,0,0,0,0,1,0,0,6,2,0,0,0,0,4.25,2.53,4,britneyspears
1,4,0,0,1,0,1,2,0,1,0,8,1,3,0,1,1,7.0,3.36,4,britneyspears
1,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,5.0,3.4,2,britneyspears
0,1,1,1,0,1,0,0,2,0,0,5,3,1,0,0,2,12.0,3.75,2,britneyspears
0,1,0,0,0,0,0,0,0,0,0,7,0,1,0,0,1,9.5,3.53,2,britneyspears
0,0,0,0,0,1,0,0,1,0,0,4,0,0,0,0,1,8.0,5.38,1,britneyspears
0,4,0,1,2,0,0,0,0,0,0,9,2,0,0,4,2,10.0,3.67,3,britneyspears
1,1,0,1,0,0,0,0,0,0,0,7,3,2,0,0,1,12.5,4.44,2,britneyspears
1,1,0,0,0,0,0,1,0,0,0,6,6,0,1,0,0,12.5,3.56,2,britneyspears
0,1,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,4.67,3.14,3,britneyspears
1,0,0,1,0,0,0,0,0,0,1,10,0,0,0,0,0,8.0,3.79,3,britneyspears
1,2,1,0,0,0,0,0,0,0,1,7,1,1,0,0,0,4.6,3.65,5,britneyspears
0,0,0,0,0,0,2,1,1,0,0,6,1,0,0,0,0,10.0,4.2,1,britneyspears
1,0,0,1,1,0,0,1,0,0,0,7,0,0,0,0,0,9.0,3.89,2,britneyspears
0,0,0,0,0,0,1,0,0,0,1,7,0,0,0,0,0,4.0,3.31,4,britneyspears
1,0,0,0,0,0,0,1,1,0,0,7,1,0,1,0,1,5.0,4.07,3,britneyspears
0,0,0,1,1,0,5,0,0,0,0,5,8,2,0,0,0,11.0,4.77,2,britneyspears
0,0,0,0,0,0,0,0,0,0,1,5,5,0,0,0,0,22.0,3.36,1,britneyspears
1,0,0,1,2,0,0,0,0,0,0,8,0,1,0,0,0,12.5,4.52,2,britneyspears
0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,4.0,2.63,2,britneyspears
2,0,1,1,0,0,0,0,0,0,1,11,0,0,0,0,3,6.67,4.25,3,britneyspears
0,1,1,0,1,0,0,0,0,0,0,3,1,2,0,1,0,5.67,3.29,3,britneyspears
1,0,2,1,5,0,1,0,1,0,0,7,5,0,0,0,0,8.0,3.28,4,britneyspears
2,0,0,0,0,0,0,0,0,0,0,7,2,0,0,0,0,11.0,4.05,2,britneyspears
0,1,0,0,0,0,1,1,0,0,0,9,6,0,0,0,1,14.0,3.11,2,britneyspears
0,0,0,0,0,0,2,0,1,0,0,2,4,0,0,0,0,9.0,4.33,1,britneyspears
1,0,0,0,0,1,0,0,0,0,0,9,0,1,0,0,0,8.67,3.54,3,britneyspears
0,2,1,0,0,0,0,0,1,0,0,14,1,3,0,1,3,6.75,3.52,4,britneyspears
0,1,0,0,0,0,1,0,0,0,1,5,2,1,1,0,0,10.5,3.57,2,britneyspears
0,0,1,0,0,0,0,1,1,0,0,12,1,0,0,1,1,4.2,4.48,5,britneyspears
1,0,1,1,0,0,0,1,0,0,0,9,3,1,0,0,0,8.33,3.72,3,britneyspears
0,0,0,0,0,0,1,0,1,0,0,4,1,0,0,0,0,3.5,6.14,2,britneyspears
0,2,0,0,0,0,0,1,1,0,1,10,1,3,0,1,1,5.4,3.59,5,britneyspears
1,0,0,0,0,0,0,0,0,0,0,6,0,1,0,1,0,4.67,2.71,3,britneyspears
0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,3.0,9.67,1,britneyspears
1,0,2,0,1,0,1,0,0,0,0,11,1,0,1,0,0,14.5,3.72,2,britneyspears
1,4,0,0,1,0,0,2,0,1,0,15,0,2,0,1,18,5.8,3.52,5,britneyspears
0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2.0,2.5,1,britneyspears
0,0,1,1,0,1,1,0,0,0,0,10,0,0,0,0,0,8.0,3.79,3,britneyspears
2,0,0,1,0,0,0,0,1,0,0,8,3,1,1,0,2,8.67,3.81,3,britneyspears
1,3,0,0,2,0,0,0,0,0,0,12,2,1,0,0,2,6.5,3.96,4,britneyspears
1,1,1,0,2,0,0,1,1,0,0,12,0,1,0,0,3,5.2,3.88,5,britneyspears
0,1,0,0,0,0,0,0,0,0,0,11,0,1,0,0,1,7.0,4.67,3,britneyspears
0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,4.5,4.11,2,britneyspears
0,1,0,0,0,0,0,0,0,0,1,6,3,0,0,0,1,9.5,3.95,2,britneyspears
2,0,1,0,0,0,0,0,0,0,0,5,0,0,1,0,0,10.5,3.86,2,britneyspears
0,0,0,0,0,0,0,0,0,0,1,3,1,2,0,1,0,6.0,4.5,2,britneyspears
1,1,0,0,0,0,0,0,0,0,0,5,0,2,0,0,1,11.5,3.52,2,britneyspears
1,1,1,0,0,0,0,0,1,0,0,7,1,1,0,0,0,7.33,2.68,3,britneyspears
0,0,0,1,0,0,0,1,0,0,0,9,0,1,0,0,0,7.0,3.67,3,britneyspears
0,0,0,0,0,0,0,0,0,2,0,4,5,0,0,0,0,16.0,2.94,1,britneyspears
0,0,0,0,0,0,0,1,0,0,0,6,0,0,1,0,0,8.0,3.31,2,britneyspears
5,1,0,1,1,1,0,1,0,1,0,14,0,1,0,2,4,9.0,3.56,3,britneyspears
0,2,0,1,0,0,0,0,0,0,1,7,0,2,0,0,0,5.25,3.24,4,britneyspears
0,0,0,0,0,1,0,1,0,0,0,5,0,0,0,0,0,8.0,3.88,2,britneyspears
3,3,1,0,2,0,0,0,0,0,0,9,0,1,0,0,0,15.5,2.68,2,britneyspears
0,0,0,0,0,0,1,1,0,0,0,7,4,0,0,0,1,7.0,3.86,3,britneyspears
2,1,1,1,1,0,0,0,1,0,0,13,2,0,1,2,6,10.33,3.45,3,britneyspears
3,1,1,1,4,0,1,1,0,0,0,10,1,1,0,1,4,7.25,3.41,4,britneyspears
2,1,1,0,1,0,0,0,1,0,0,4,1,0,1,0,0,5.33,2.63,3,britneyspears
0,1,0,0,0,0,1,0,0,0,0,7,3,0,0,0,0,9.0,3.89,2,britneyspears
1,0,0,0,0,0,0,0,0,0,0,7,4,0,0,0,0,8.0,3.92,3,britneyspears
0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,1,11.0,5.18,1,britneyspears
1,2,0,0,0,0,0,0,0,2,0,5,1,0,1,0,0,8.0,4.42,3,britneyspears
