@relation tweets

@attribute fppronouns numeric
@attribute sppronouns numeric
@attribute tppronouns numeric
@attribute coordconjs numeric
@attribute ptverbs numeric
@attribute ftverbs numeric
@attribute commas numeric
@attribute colons numeric
@attribute dashes numeric
@attribute parentheses numeric
@attribute ellipses numeric
@attribute cmnnouns numeric
@attribute propnouns numeric
@attribute adverbs numeric
@attribute whwords numeric
@attribute slang numeric
@attribute uppercase numeric
@attribute avgsentence numeric
@attribute avgtoken numeric
@attribute numsentence numeric
@attribute class {barackobama,stephencolbert,ashtonkutcher,kimkardashian,neiltyson,shakira}


@data
1,4,0,1,0,0,5,1,0,0,0,6,1,0,0,0,0,14.0,3.61,2,barackobama
0,0,0,0,1,0,0,1,0,0,0,8,2,0,1,0,1,11.0,4.23,2,barackobama
2,0,0,1,0,0,2,0,0,0,0,10,1,0,0,0,1,9.0,3.85,3,barackobama
2,0,0,0,0,0,0,1,0,0,0,9,1,0,0,0,2,10.0,4.6,2,barackobama
0,1,0,0,0,0,0,1,0,0,0,7,3,0,0,0,0,10.0,4.7,2,barackobama
0,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,1,6.0,5.08,2,barackobama
0,0,0,0,0,0,0,1,0,0,0,6,0,0,0,0,0,9.0,4.83,2,barackobama
2,1,0,0,0,1,0,0,0,0,0,8,3,1,0,1,0,9.5,3.55,4,barackobama
2,0,0,2,1,0,0,0,0,0,0,8,5,1,1,0,0,12.33,4.27,3,barackobama
0,1,0,0,0,0,1,1,0,0,0,6,0,1,0,0,0,21.0,3.95,1,barackobama
0,1,0,0,0,0,0,1,0,0,0,6,1,1,0,0,0,9.5,4.26,2,barackobama
0,0,0,1,1,0,0,0,0,0,0,5,3,1,1,0,0,23.0,5.09,1,barackobama
1,0,0,2,0,0,1,0,0,0,0,4,0,0,0,0,0,18.0,3.83,1,barackobama
0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,5.0,4.8,1,barackobama
0,0,0,2,0,0,1,1,0,0,0,10,4,0,0,0,1,21.0,4.52,1,barackobama
0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,1,8.5,4.06,2,barackobama
1,0,0,0,1,0,0,0,0,0,0,8,1,3,0,0,0,13.5,4.19,2,barackobama
0,1,0,0,0,0,0,0,0,2,0,10,4,0,0,0,4,13.5,4.11,2,barackobama
0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,1,6.0,3.5,2,barackobama
0,0,0,0,0,0,6,1,0,0,0,9,0,0,0,0,3,6.5,6.54,2,barackobama
2,0,1,1,0,0,0,0,0,0,0,12,0,0,0,0,1,9.0,3.59,3,barackobama
0,4,0,0,1,0,1,1,0,0,0,8,1,3,0,0,0,9.33,3.86,3,barackobama
0,0,0,1,0,0,0,1,0,0,0,6,3,0,0,0,0,10.5,4.29,2,barackobama
3,0,0,1,0,0,2,1,0,0,0,5,1,0,1,0,1,20.0,4.0,1,barackobama
0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,1,9.0,4.17,2,barackobama
0,0,0,0,0,0,1,1,0,0,0,5,3,0,0,0,1,9.5,4.68,2,barackobama
0,1,1,0,0,0,0,1,0,0,0,6,0,0,0,0,0,6.5,4.31,2,barackobama
1,0,1,1,1,1,2,0,0,0,0,17,8,4,3,0,2,10.71,4.25,7,barackobama
0,0,0,0,0,0,1,1,0,0,0,3,6,0,0,0,0,6.33,4.53,3,barackobama
